"cod_seccion","cod_distrito","varones","mujeres","superficie","t0_4","t5_10","t11_14","t15_19","t20_24","t25_29","t30_34","t35_39","t40_44","t45_49","t50_54","t55_59","t60_64","t65_69","t70_74","t75_79","t80_84","t85_89","t90_94","t95_99","t100"
"S01814","D01",853,849,1669,70,85,94,90,106,117,123,149,93,63,74,82,116,135,130,78,57,30,7,3,0
"S01617","D01",1188,1117,2262,138,129,155,139,181,202,228,187,132,92,88,109,138,134,114,64,35,29,11,0,0
"S01018","D01",4765,4341,8572,487,558,597,584,651,742,683,759,697,488,427,406,377,426,452,383,219,127,32,9,2
