"cod_seccion","cod_distrito","varones","mujeres","superficie","t0_4","t5_10","t11_14","t15_19","t20_24","t25_29","t30_34","t35_39","t40_44","t45_49","t50_54","t55_59","t60_64","t65_69","t70_74","t75_79","t80_84","t85_89","t90_94","t95_99","t100"
"S03101","D03",1044,1035,2020,94,104,122,160,154,171,163,140,131,113,107,110,93,103,107,102,56,38,9,2,0
"S03908","D03",1237,1140,2232,113,132,139,137,161,185,185,171,154,123,104,143,121,143,137,109,64,40,14,1,1
"S03113","D03",1711,1576,2991,184,189,168,162,218,249,294,291,208,128,142,173,186,191,190,142,91,59,20,2,0
